Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Sip and Paint Sunset Session,2026-09-26,4:30 PM - 6:30 PM,"Sip and Paint Aruba, GWWQ+6W6, Noord",,Arts & Theatre,https://www.eventbrite.com/e/sip-and-paint-sunset-session-tickets-1991362673362,,eventbrite: https://www.eventbrite.com/e/sip-and-paint-sunset-session-tickets-1991362673362,1,"Oranjestad, Aruba",12.524,-70.027
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,"Oranjestad, Aruba",12.524,-70.027
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,"Oranjestad, Aruba",12.524,-70.027
Managing Your Finances & Employee Insurance,2026-09-29,9:00 AM - 12:00 PM,"Cas Veneranda, 7 Wilhelminastraat, Oranjestad",,Arts & Theatre,https://www.eventbrite.com/e/managing-your-finances-employee-insurance-tickets-2001001082102,Ready to Grow! Gain practical insights on managing your finances and understanding employee insurance for your business.,eventbrite: https://www.eventbrite.com/e/managing-your-finances-employee-insurance-tickets-2001001082102,1,"Oranjestad, Aruba",12.524,-70.027
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,"Oranjestad, Aruba",12.524,-70.027
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,"Oranjestad, Aruba",12.524,-70.027
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,"Oranjestad, Aruba",12.524,-70.027
"Verander je denken, verander je leven.",2026-10-24,10:00 AM - 3:00 PM,"Papagayo Beach Resort, Kaya Adriatiko 28 – Jan Thiel, Willemstad",,Arts & Theatre,https://www.eventbrite.nl/e/verander-je-denken-verander-je-leven-tickets-1999237614523,Ontdek hoe kleine mindset shifts jouw leven compleet kunnen veranderen tijdens dit inspirerende event!,eventbrite: https://www.eventbrite.nl/e/verander-je-denken-verander-je-leven-tickets-1999237614523,1,"Oranjestad, Aruba",12.524,-70.027
Runway Shows | Day 1 — Aruba Fashion Week 2026,2026-11-20,5:00 PM - 11:30 PM,"Tierra del Sol Resort & Golf, 10 Caya di Solo, Noord",,Sports & Fitness,https://www.eventbrite.com/e/runway-shows-day-1-aruba-fashion-week-2026-tickets-1999727730473,,eventbrite: https://www.eventbrite.com/e/runway-shows-day-1-aruba-fashion-week-2026-tickets-1999727730473,1,"Oranjestad, Aruba",12.524,-70.027
ARUBA Ocean View Business Event,2026-11-27,5:00 AM - 7:00 AM,"JOIA Aruba by Iberostar, J.E. Irausquin Boulevard 230,, Oranjestad",,Arts & Theatre,https://www.eventbrite.nl/e/tickets-aruba-ocean-view-business-event-2002130706840,"ARUBA Business Network Event * get togethers for Fashion, Beauty, Health, Travel, Interior, Branding experts & professionals",eventbrite: https://www.eventbrite.nl/e/tickets-aruba-ocean-view-business-event-2002130706840,1,"Oranjestad, Aruba",12.524,-70.027
Old School R&B Brunch - Aruba,2026-11-29,3:00 PM - 9:00 PM,"Tantra Aruba, 348 J.E. Irausquin Boulevard, Noord",,Food & Drink,https://www.eventbrite.co.uk/e/old-school-rb-brunch-aruba-tickets-1994009294477,,eventbrite: https://www.eventbrite.co.uk/e/old-school-rb-brunch-aruba-tickets-1994009294477,1,"Oranjestad, Aruba",12.524,-70.027
