Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
ROCK THE BOAT,2026-09-25,3:00 PM - 7:00 PM,"Barbados, Barbados, Barbados",$40.00,General,https://islandetickets.com/event/rocktheboat,"Friday plans: somewhere between the coastline and a really good time.
Rock the Boat takes Rockaway out to sea for an afternoon of music, drinks, beautiful Barbados views and the kind of energy that lets you know the weekend has officially begun.
Bring the crew. Bring the shades. Coolers are allowed.
We’ll handle the rest.",islandetickets: https://islandetickets.com/event/rocktheboat,1,Bridgetown,13.097,-59.617
ROCKAWAY WEEKEND PASS,2026-09-25,4:00 PM,"Barbados, Barbados, Barbados",$120.00,General,https://islandetickets.com/event/ROCKAWAY-WEEKEND-PASS,ROCKAWAY WEEKEND PASS- All 3 events: Rock the Boat ~ Nauti Rock ~ Sunset Secret,islandetickets: https://islandetickets.com/event/ROCKAWAY-WEEKEND-PASS,1,Bridgetown,13.097,-59.617
Rockaway Barbados Golf 2026,2026-09-25,6:00 AM,"Barbados, Barbados, Barbados",$650.00,Sports & Fitness,https://islandetickets.com/event/rockawaybimgolf,"Rockaway Events is thrilled to announce that we will be hosting The Rockaway Barbados on September 25 & 26th, 2026!
This exciting 2 Player Better Ball event anticipates to be one of great golfing and camaraderie, as well as a weekend filled with fun and entertainment!
We encourage you to book your flights as soon as possible as flight availability is also limited!
Stay tuned for more information and updates and we look forward to seeing you on the course!",islandetickets: https://islandetickets.com/event/rockawaybimgolf,1,Bridgetown,13.097,-59.617
Salsa Pirates Of The Caribbean,2026-09-25,8:00PM,BARBADOS,$85.96,General,https://secure.ticketpal.com/event/salsa-pirates-of-the-caribbean,**ALL PRICES IN USD** THE ULTIMATE LATIN BOAT PARTY BOARDING TIME: 6:30 PM SAILING: 8:00 PM RETURN: MIDNIGHT LIVE LATIN MUSIC TOP DJSDANCINGGOOD VIBESSUNSET CRUISE,ticketpal: https://secure.ticketpal.com/event/salsa-pirates-of-the-caribbean,1,Bridgetown,13.097,-59.617
FROFEST,2026-09-26,11:00AM,BARBADOS,$29.96 - $69.16,Festival,https://secure.ticketpal.com/event/frofest,"***ALL PRICES IN USD***FRO FEST is a natural beauty festival, its a vibrant celebration of beauty, culture, and community. More than just an event, Fro Fest is an experience that brings together creativity, businesses and island pride. The festival features rows of local vendors showcasing...",ticketpal: https://secure.ticketpal.com/event/frofest,1,Bridgetown,13.097,-59.617
Fiesta Latina 30th Anniversary Gala,2026-09-26,8:00PM,Barbados,$46.77,Faith & Community,https://secure.ticketpal.com/event/fiesta-latina-30th-anniversary-gala,**ALL PRICES IN USD**,ticketpal: https://secure.ticketpal.com/event/fiesta-latina-30th-anniversary-gala,1,Bridgetown,13.097,-59.617
NAUTI ROCK,2026-09-26,8:00 PM - 2:00 AM,"Haymans Market, Haymans Market, Barbados",$40.00,Nightlife / Party,https://islandetickets.com/event/NAUTIROCK,"Saturday belongs to Nauti Rock.
@Rockaway x @NautiLime are bringing you great energy and amazing vibes! Plan your whole weekend around good music, great people, premium pours and a crowd that knows how to have A TIME!
Consider this your official heads-up.
Nauti Rock is back.",islandetickets: https://islandetickets.com/event/NAUTIROCK,1,Bridgetown,13.097,-59.617
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,Bridgetown,13.097,-59.617
SUNSET SECRET,2026-09-27,4:00 PM - 10:00 PM,"Sand Trap Beach House, Sand Trap Beach House, Barbados",$40.00,Nightlife / Party,https://islandetickets.com/event/SUNSET-SECRET,"Just when you thought the weekend was winding down… Sunday said absolutely not.
The Sunset Secret! @ Sand Trap
The weekend’s final plot twist.
Golden hour, good music, cold drinks and even better company.
One more sunset. One more drink. One more reason to make the weekend count.
Rockaway Vacay. Stay. Party. Play.",islandetickets: https://islandetickets.com/event/SUNSET-SECRET,1,Bridgetown,13.097,-59.617
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,Bridgetown,13.097,-59.617
