Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Make Authentic Espadrilles in Curaçao!,2026-09-25,10:00 AM - 12:00 PM,"13 Heerenstraat, 13 Heerenstraat, Willemstad, .",,Arts & Theatre,https://www.eventbrite.es/e/make-authentic-espadrilles-in-curacao-tickets-1983433551144,,eventbrite: https://www.eventbrite.es/e/make-authentic-espadrilles-in-curacao-tickets-1983433551144,1,"Willemstad, Curaçao",12.109,-68.935
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,"Willemstad, Curaçao",12.109,-68.935
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,"Willemstad, Curaçao",12.109,-68.935
Managing Your Finances & Employee Insurance,2026-09-29,9:00 AM - 12:00 PM,"Cas Veneranda, 7 Wilhelminastraat, Oranjestad",,Arts & Theatre,https://www.eventbrite.com/e/managing-your-finances-employee-insurance-tickets-2001001082102,Ready to Grow! Gain practical insights on managing your finances and understanding employee insurance for your business.,eventbrite: https://www.eventbrite.com/e/managing-your-finances-employee-insurance-tickets-2001001082102,1,"Willemstad, Curaçao",12.109,-68.935
"FIFTY, FLAWLESS, AND CURACAO BOUND",2026-09-30,7:00 AM - 7:00 AM,"Dreams Curaçao Resort, Spa & Casino, 2133 John F. Kennedy Boulevard, Willemstad, Curaçao 0",,Fair / Popup,https://www.eventbrite.com/e/fifty-flawless-and-curacao-bound-tickets-1980800246860,,eventbrite: https://www.eventbrite.com/e/fifty-flawless-and-curacao-bound-tickets-1980800246860,1,"Willemstad, Curaçao",12.109,-68.935
STOCK SALE - Concept Store,2026-09-30,10:00 AM - 11:00 AM,"6 Langestraat, 6 Langestraat, Willemstad",,Arts & Theatre,https://www.eventbrite.com/e/tickets-stock-sale-concept-store-2002123931575,,eventbrite: https://www.eventbrite.com/e/tickets-stock-sale-concept-store-2002123931575 | eventbrite: https://www.eventbrite.com/e/tickets-stock-sale-concept-store-2002123930572,2,"Willemstad, Curaçao",12.109,-68.935
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,"Willemstad, Curaçao",12.109,-68.935
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,"Willemstad, Curaçao",12.109,-68.935
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,"Willemstad, Curaçao",12.109,-68.935
Caribbean Gospel Experience,2026-10-09,7:30 PM - 10:00 PM,"House of Worship, Erosweg 52, Curaçao, Dutch Caribbean 0000",,Concert / Live Music,https://www.eventbrite.com/e/caribbean-gospel-experience-tickets-2000611945183,,eventbrite: https://www.eventbrite.com/e/caribbean-gospel-experience-tickets-2000611945183,1,"Willemstad, Curaçao",12.109,-68.935
