Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Lancement du collectif Femmes de santé en Martinique,2026-09-25,6:30 PM - 8:30 PM,"My Easy Space, 206 Route de Redoute, Fort-de-France, Fort-de-France 97200",,Arts & Theatre,https://www.eventbrite.fr/e/lancement-du-collectif-femmes-de-sante-en-martinique-tickets-1999371541101,Nouvelle antenne Femmes de santé :,eventbrite: https://www.eventbrite.fr/e/lancement-du-collectif-femmes-de-sante-en-martinique-tickets-1999371541101,1,"Roseau, Dominica",15.301,-61.388
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,"Roseau, Dominica",15.301,-61.388
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,"Roseau, Dominica",15.301,-61.388
Alternance : Formation + Salaire – Réunion d’information IFC,2026-09-30,2:00 PM - 4:00 PM,"INSTITUT DE LA FONCTION COMMERCIALE, ZI La Lézarde, Lamentin, 97232",,Arts & Theatre,https://www.eventbrite.fr/e/inscription-alternance-formation-salaire-reunion-dinformation-ifc-1985158475439,"Diplôme, expérience et salaire : découvre comment réussir ton alternance avec l’IFC et trouve ton entreprise.",eventbrite: https://www.eventbrite.fr/e/inscription-alternance-formation-salaire-reunion-dinformation-ifc-1985158475439,1,"Roseau, Dominica",15.301,-61.388
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,"Roseau, Dominica",15.301,-61.388
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,"Roseau, Dominica",15.301,-61.388
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,"Roseau, Dominica",15.301,-61.388
AFTERWORK 97- GUADELOUPE,2026-10-14,7:00 PM - 9:00 PM,"SOLOYO, 5 lotissement domaine de cayenne, Saint-François, Grande-Terre 97118",,Nightlife / Party,https://www.eventbrite.com/e/billets-afterwork-97-guadeloupe-1987085291598,"​Tu es de St François ou de ses environs ?
Alors cette soirée de réseautage est faite pour toi !",eventbrite: https://www.eventbrite.com/e/billets-afterwork-97-guadeloupe-1987085291598,1,"Roseau, Dominica",15.301,-61.388
EPIC MOMENTZ Boat Party,2026-10-17,7:00 PM - 10:00 PM,"Roseau Ferry Terminal, Dame Mary Eugenia Charles Boulevard, Roseau, Saint George Parish",,Nightlife / Party,https://www.eventbrite.com/e/epic-momentz-boat-party-tickets-1987655406828,,eventbrite: https://www.eventbrite.com/e/epic-momentz-boat-party-tickets-1987655406828,1,"Roseau, Dominica",15.301,-61.388
Formation MONT HOREB — Caraïbes,2026-10-18,3:00 PM - 4:30 PM,"12 Rue Antoine Siger, 12 Rue Antoine Siger, Fort-de-France, Fort-de-France 97200",,Arts & Theatre,https://www.eventbrite.fr/e/billets-formation-mont-horeb-caraibes-1999707941283,"École prophétique pour former, équiper et accompagner les croyants à discerner la voix de Dieu et exercer leurs dons spirituels.",eventbrite: https://www.eventbrite.fr/e/billets-formation-mont-horeb-caraibes-1999707941283,1,"Roseau, Dominica",15.301,-61.388
Independence Gopwell Day One 2026,2026-10-21,10:00PM,Dominica,$42.28 - $360.30,Culture / Heritage,https://secure.ticketpal.com/event/independence-gopwell-day-one-2026,**ALL PRICES IN USD**,ticketpal: https://secure.ticketpal.com/event/independence-gopwell-day-one-2026,1,"Roseau, Dominica",15.301,-61.388
WHITE SUNSET 5TH Edition,2026-10-21,5:00PM,DOMINICA,"$11.07 - $1,412.86",General,https://secure.ticketpal.com/event/white-sunset-5th-edition,***ALL PRICES IN USD***,ticketpal: https://secure.ticketpal.com/event/white-sunset-5th-edition,1,"Roseau, Dominica",15.301,-61.388
Dominica World Creole Music Festival 2026 - Caribbean Getaway Vacation,2026-10-22,8:00 AM,"Roseau, Dominica",,Festival,https://trinijunglejuice.com/events/dominica-world-creole-music-festival-2026-caribbean-getaway-vacation,"🇩🇲 Discover Dominica - Caribbean Getaway 🌴
October 22nd-26th, 2026
Interested in exploring the rich history, culture, and cuisine of the Caribbean's Nature Island? 🇩🇲
Email: CPN@CaribProfessionalNetwork.net
~ Register with $750 deposit by April 1st
https://www.eventbrite.com/e/travel-to-dominica-october-22-26-2026-tickets-1809487558999
Highlights:
Discovering the Rich Hisotry of Dominica
– Island Tours & Excursions
– Historical and Cultural Activities
– Sightseeing & Entrance Fees
– Airport Transfers
– Hotel Lodging
– Ground Transportation
– Meals & Culinary Experiences
– Community Impact
– Be",trinijunglejuice: https://trinijunglejuice.com/events/dominica-world-creole-music-festival-2026-caribbean-getaway-vacation,1,"Roseau, Dominica",15.31,-61.38
Independence Gopwell Day Two 2026,2026-10-22,10:00PM,Dominica,$42.28 - $360.30,Culture / Heritage,https://secure.ticketpal.com/event/independence-gopwell-day-two-2026,**ALL PRICES IN USD**,ticketpal: https://secure.ticketpal.com/event/independence-gopwell-day-two-2026,1,"Roseau, Dominica",15.301,-61.388
