Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,Santo Domingo,18.486,-69.931
República Dominicana es hora de hablar de negocio,2026-09-27,10:00 AM - 12:00 PM,"La Mochila Cowork - Edificio 2, 48 Calle José Reyes, Santo Domingo, Distrito Nacional 10210",,Conference / Expo,https://www.eventbrite.com/e/republica-dominicana-es-hora-de-hablar-de-negocio-tickets-2000538128395,Estaremos presentando como formar parte de la industria de los viajes y crear varias fuentes de ingresos en la industria.,eventbrite: https://www.eventbrite.com/e/republica-dominicana-es-hora-de-hablar-de-negocio-tickets-2000538128395,1,Santo Domingo,18.486,-69.931
THRIVE WELLNESS WALK,2026-09-27,9:00 AM - 12:00 PM,"National Botanical Garden Dr. Rafael María Moscoso, Avenida República de Colombia, Santo Domingo, Distrito Nacional",,Sports & Fitness,https://www.eventbrite.com/e/thrive-wellness-walk-tickets-2002233753054,,eventbrite: https://www.eventbrite.com/e/thrive-wellness-walk-tickets-2002233753054,1,Santo Domingo,18.486,-69.931
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,Santo Domingo,18.486,-69.931
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,Santo Domingo,18.486,-69.931
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,Santo Domingo,18.486,-69.931
LAVISH Santo Domingo,2026-10-03,10:00 PM - 3:00 AM,"Provenza Room & Terrace, Av. Jiminez Moya ESQ Sarasota Plaza Universitaria, Santo Domingo, 10108",,Concert / Live Music,https://www.eventbrite.com/e/lavish-santo-domingo-tickets-2000643333065,,eventbrite: https://www.eventbrite.com/e/lavish-santo-domingo-tickets-2000643333065,1,Santo Domingo,18.486,-69.931
The SHIFT: Reimagining Hospitality,2026-10-06,6:00 PM - 8:00 PM,"Universidad Iberoamericana, 129 Avenida Francia, Santo Domingo, Distrito Nacional 10203",,Nightlife / Party,https://www.eventbrite.com/e/the-shift-reimagining-hospitality-tickets-2000637435425,Dive into The SHIFT and discover fresh vibes that are totally changing the hospitality game!,eventbrite: https://www.eventbrite.com/e/the-shift-reimagining-hospitality-tickets-2000637435425,1,Santo Domingo,18.486,-69.931
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,Santo Domingo,18.486,-69.931
Revolution Concert 2026 | Santo Domingo RD | Concierto Católico en Vivo,2026-10-10,6:00 PM - 10:30 PM,"Parroquia El Buen Pastor, 399 Calle Francisco Prats Ramírez, Santo Domingo, Distrito Nacional",,Concert / Live Music,https://www.eventbrite.com/e/revolution-concert-2026-santo-domingo-rd-concierto-catolico-en-vivo-tickets-1998938014411,,eventbrite: https://www.eventbrite.com/e/revolution-concert-2026-santo-domingo-rd-concierto-catolico-en-vivo-tickets-1998938014411,1,Santo Domingo,18.486,-69.931
TechDay - República Dominicana 2026,2026-10-13,8:00 AM - 5:00 PM,"Hotel Jaragua, George Washington Ave. 367, Santo Domingo, Distrito Nacional 07692",,Conference / Expo,https://www.eventbrite.com/e/techday-republica-dominicana-2026-tickets-1998972926835,,eventbrite: https://www.eventbrite.com/e/techday-republica-dominicana-2026-tickets-1998972926835,1,Santo Domingo,18.486,-69.931
