Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,"St. George's, Grenada",12.056,-61.749
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,"St. George's, Grenada",12.056,-61.749
Carriacou Corn Festival,2026-10-01,,"Carriacou, Grenada",,Festival,https://www.puregrenada.com/event/carriacou-corn-festival-2/,Date to be confirmed,tribe: https://www.puregrenada.com/event/carriacou-corn-festival-2/,1,"St. George's, Grenada",12.056,-61.749
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,"St. George's, Grenada",12.056,-61.749
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,"St. George's, Grenada",12.056,-61.749
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,"St. George's, Grenada",12.056,-61.749
Dance Grenada,2026-10-15,,,,Arts & Theatre,https://www.puregrenada.com/event/dance-grenada/,Date to be confirmed,tribe: https://www.puregrenada.com/event/dance-grenada/,1,"St. George's, Grenada",12.056,-61.749
Scents of Grenada No.14,2026-10-23,,,,General,https://www.puregrenada.com/event/scents-of-grenada-no-14/,Date to be confirmed,tribe: https://www.puregrenada.com/event/scents-of-grenada-no-14/,1,"St. George's, Grenada",12.056,-61.749
Grenada Dive and Conservation Festival 2026,2026-10-26,,,,Festival,https://www.puregrenada.com/event/grenada-dive-and-conservation-festival-2026/,,tribe: https://www.puregrenada.com/event/grenada-dive-and-conservation-festival-2026/,1,"St. George's, Grenada",12.056,-61.749
Grenada Flower and Garden Festival,2026-11-08,,,,Festival,https://www.puregrenada.com/event/grenada-flower-fest/,,tribe: https://www.puregrenada.com/event/grenada-flower-fest/,1,"St. George's, Grenada",12.056,-61.749
Carols by Candlelight,2026-12-06,,,,Festival,https://www.puregrenada.com/event/carols-by-candlelight-2/,Date to be confirmed,tribe: https://www.puregrenada.com/event/carols-by-candlelight-2/,1,"St. George's, Grenada",12.056,-61.749
