Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
BROCODE ***FASHION FOR HOPE*** 2026,2026-09-27,1:00 PM - 6:00 PM,"Scotty's Smoke House, Lot 8, Georgetown, Demerara-Mahaica",,Concert / Live Music,https://www.eventbrite.com/e/brocode-fashion-for-hope-2026-tickets-1997207678931,,eventbrite: https://www.eventbrite.com/e/brocode-fashion-for-hope-2026-tickets-1997207678931,1,"Georgetown, Guyana",6.804,-58.155
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,"Georgetown, Guyana",6.804,-58.155
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,"Georgetown, Guyana",6.804,-58.155
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,"Georgetown, Guyana",6.804,-58.155
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,"Georgetown, Guyana",6.804,-58.155
The Storityme Show Guyana 2026,2026-10-03,8:00 PM - 10:00 PM,"Scotty's Smoke House, Lot 8, Georgetown, Demerara-Mahaica",,Festival,https://www.eventbrite.com/e/the-storityme-show-guyana-2026-tickets-1996180437424,,eventbrite: https://www.eventbrite.com/e/the-storityme-show-guyana-2026-tickets-1996180437424,1,"Georgetown, Guyana",6.804,-58.155
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,"Georgetown, Guyana",6.804,-58.155
Guyana Caribbean Comedy Linkup,2026-10-23,7:00 PM - 11:30 PM,"Liliendaal, Lot 8, Georgetown, Demerara-Mahaica",,Comedy,https://www.eventbrite.com/e/guyana-caribbean-comedy-linkup-tickets-1999718264159,,eventbrite: https://www.eventbrite.com/e/guyana-caribbean-comedy-linkup-tickets-1999718264159,1,"Georgetown, Guyana",6.804,-58.155
R&B Meets Reggae – Live with Carlvin Burnett & The Heatwave Band,2026-10-24,8:00 PM - 11:00 PM,"Scotty's Smoke House, Lot 8 Liliendaal, East Coast Demerara",,Concert / Live Music,https://www.eventbrite.com/e/rb-meets-reggae-live-with-carlvin-burnett-the-heatwave-band-tickets-1999931977381,,eventbrite: https://www.eventbrite.com/e/rb-meets-reggae-live-with-carlvin-burnett-the-heatwave-band-tickets-1999931977381,1,"Georgetown, Guyana",6.804,-58.155
Customer Service Excellence Seminar,2026-10-30,9:00 AM - 5:00 PM,"Ramada Princess Hotel, Georgetown, Trinidad and Tobago",$98.00,Business / Networking,https://guyana.tikkets.com/events/customer-service-excellence-seminar-uCHnh,"The event combines presentations and attendee participation to create a deeper understanding of the Value of Service Excellence. It targets all persons involved in providing Customer Service, including each staff member.",tikkets: https://guyana.tikkets.com/events/customer-service-excellence-seminar-uCHnh,1,"Georgetown, Guyana",6.804,-58.155
