Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
LA PLACITA BAR CRAWL,2026-09-25,9:30 PM - 11:30 PM,"1352 C. Roberts, 1352 Calle Roberts, San Juan, San Juan 00907",,Nightlife / Party,https://www.eventbrite.com/e/la-placita-bar-crawl-registration-1982245165651,,eventbrite: https://www.eventbrite.com/e/la-placita-bar-crawl-registration-1982245165651,1,"San Juan, Puerto Rico",18.466,-66.106
Omar Courtz,2026-09-25,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/omar-courtz-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-09-25-8-30-pm/concert/18513306,,seatgeek: https://seatgeek.com/omar-courtz-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-09-25-8-30-pm/concert/18513306,1,"San Juan, Puerto Rico",18.4278,-66.0614
SAN JUAN CPR / BLS | Soporte Vital Básico,2026-09-25,5:30 PM - 9:00 PM,"Hecho en P.R., Plaza Las Américas, San Juan, San Juan 00918",,Arts & Theatre,https://www.eventbrite.com/e/san-juan-cpr-bls-soporte-vital-basico-tickets-2001275183948,,eventbrite: https://www.eventbrite.com/e/san-juan-cpr-bls-soporte-vital-basico-tickets-2001275183948,1,"San Juan, Puerto Rico",18.466,-66.106
Tributo a Menudo,2026-09-25,7:00 PM - 11:30 PM,"Casa Ariel, 652 Avenida de la Constitución, San Juan, San Juan 00907",,Concert / Live Music,https://www.eventbrite.com/e/tributo-a-menudo-tickets-2000493701513,,eventbrite: https://www.eventbrite.com/e/tributo-a-menudo-tickets-2000493701513,1,"San Juan, Puerto Rico",18.466,-66.106
CLAUDE BOOTCAMP V5 Taller Práctico para Profesionales y Empresas,2026-09-26,9:00 AM - 3:00 PM,"Inteco - BRRC, 22 Calle Luis Munoz Rivera, Caguas, Caguas 00725",,Arts & Theatre,https://www.eventbrite.com/e/claude-bootcamp-v5-taller-practico-para-profesionales-y-empresas-tickets-1998650919703,CONVIERTE A CLAUDE EN UN VERDADERO ASISTENTE PARA TU NEGOCIO,eventbrite: https://www.eventbrite.com/e/claude-bootcamp-v5-taller-practico-para-profesionales-y-empresas-tickets-1998650919703,1,"San Juan, Puerto Rico",18.466,-66.106
Meet & Greet con Víctor González en Puerto Rico,2026-09-26,10:00 AM - 1:00 PM,"Sheraton Puerto Rico Resort & Casino, 200 Convention Boulevard, San Juan, San Juan 00907",,Arts & Theatre,https://www.eventbrite.com/e/meet-greet-con-victor-gonzalez-en-puerto-rico-tickets-2001414783494,,eventbrite: https://www.eventbrite.com/e/meet-greet-con-victor-gonzalez-en-puerto-rico-tickets-2001414783494,1,"San Juan, Puerto Rico",18.466,-66.106
Omar Courtz,2026-09-26,8:30 PM,"Coliseo de Puerto Rico, San Juan",,Concert / Live Music,https://seatgeek.com/omar-courtz-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-09-26-8-30-pm/concert/18513304,,seatgeek: https://seatgeek.com/omar-courtz-tickets/san-juan-puerto-rico-coliseo-de-puerto-rico-2026-09-26-8-30-pm/concert/18513304,1,"San Juan, Puerto Rico",18.4278,-66.0614
PULSO™,2026-09-26,6:00 PM - 8:30 PM,"La Isla, 909 Avenida Manuel Fernández Juncos, San Juan, San Juan 00907",,Arts & Theatre,https://www.eventbrite.com/e/pulsotm-tickets-1998132592372,,eventbrite: https://www.eventbrite.com/e/pulsotm-tickets-1998132592372,1,"San Juan, Puerto Rico",18.466,-66.106
Pilates & Color PR,2026-09-26,9:00 AM - 12:00 PM,"Patio Olivas, 603 Avenida Julio Andino, San Juan, San Juan 00924",,Sports & Fitness,https://www.eventbrite.com/e/pilates-color-pr-tickets-1998669513317,,eventbrite: https://www.eventbrite.com/e/pilates-color-pr-tickets-1998669513317,1,"San Juan, Puerto Rico",18.466,-66.106
Actividad de Bienvenida Entre Mamás | San Juan,2026-09-27,2:00 PM - 5:00 PM,"El Beer Garden & Pizza Rústica, 100 Convention Boulevard, San Juan, San Juan 00907",,Nightlife / Party,https://www.eventbrite.com/e/actividad-de-bienvenida-entre-mamas-san-juan-tickets-2000778778185,,eventbrite: https://www.eventbrite.com/e/actividad-de-bienvenida-entre-mamas-san-juan-tickets-2000778778185,1,"San Juan, Puerto Rico",18.466,-66.106
Da Sunday Cookout PR,2026-09-27,1:00 PM - 8:00 PM,"new Venue coming soon, ash, San Juan, San Juan 00911",,Food & Drink,https://www.eventbrite.com/e/da-sunday-cookout-pr-tickets-595285634357,,eventbrite: https://www.eventbrite.com/e/da-sunday-cookout-pr-tickets-595285634357,1,"San Juan, Puerto Rico",18.466,-66.106
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,"San Juan, Puerto Rico",18.466,-66.106
