Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,"Philipsburg, Sint Maarten",18.026,-63.045
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,"Philipsburg, Sint Maarten",18.026,-63.045
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,"Philipsburg, Sint Maarten",18.026,-63.045
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,"Philipsburg, Sint Maarten",18.026,-63.045
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,"Philipsburg, Sint Maarten",18.026,-63.045
DisruptHR St. Kitts,2026-10-07,6:00 PM - 9:00 PM,"Cuna Caribbean Conference Centre, Corner of Wilkin Street and St. Johnston Avenue Fortlands, Brumaire, Saint George Basseterre Parish KN0101",,Arts & Theatre,https://www.eventbrite.co.uk/e/disrupthr-st-kitts-tickets-1987191606589,"DisruptHR St. Kitts is a live event shaking up HR with fresh ideas and quick, punchy talks.",eventbrite: https://www.eventbrite.co.uk/e/disrupthr-st-kitts-tickets-1987191606589,1,"Philipsburg, Sint Maarten",18.026,-63.045
DESTINED FOR MORE CONFERENCE,2026-10-18,2:30 PM - 7:30 PM,"Hill's Event Hall, 69 Welfare Road, Cole Bay",,Conference / Expo,https://www.eventbrite.com/e/destined-for-more-conference-tickets-1999859420361,,eventbrite: https://www.eventbrite.com/e/destined-for-more-conference-tickets-1999859420361,1,"Philipsburg, Sint Maarten",18.026,-63.045
Bikini Beach Boat Ride – The St. Maarten Experience 2026,2026-10-24,1:30 PM - 5:00 PM,"EXPLORER, Welfare Rd across street from Lotus Nightclub, Simpson Bay, 000 000",,Regatta / Maritime,https://www.eventbrite.com/e/bikini-beach-boat-ride-the-st-maarten-experience-2026-tickets-1933677644889,,eventbrite: https://www.eventbrite.com/e/bikini-beach-boat-ride-the-st-maarten-experience-2026-tickets-1933677644889,1,"Philipsburg, Sint Maarten",18.026,-63.045
A Garment of Praise,2026-10-30,7:00 PM - 10:00 PM,"ALEEZE Convention Center, 117 A.T. Illidge Road, Philipsburg, 00000",,Conference / Expo,https://www.eventbrite.com/e/a-garment-of-praise-tickets-1998669555443,,eventbrite: https://www.eventbrite.com/e/a-garment-of-praise-tickets-1998669555443,1,"Philipsburg, Sint Maarten",18.026,-63.045
Episode 44: Shamekia's Outside (St. Maarten Edition),2026-11-20,6:00 AM - 4:00 PM,"Sonesta Maho Beach Resort, Casino & Spa, Rhine Road 1 Maho Bay, Lowlands, Sint Maarten 20000",,Concert / Live Music,https://www.eventbrite.com/e/episode-44-shamekias-outside-st-maarten-edition-tickets-1985934948892,,eventbrite: https://www.eventbrite.com/e/episode-44-shamekias-outside-st-maarten-edition-tickets-1985934948892,1,"Philipsburg, Sint Maarten",18.026,-63.045
