Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
LADY LAVA - MATRIX,2026-09-25,9:00 PM - 4:00 AM,"70 Bonne Aventure Rd, Gasparillo, Trinidad & Tobago, Trinidad and Tobago",$150.00,General,https://islandetickets.com/event/LADY-LAVA-MATRIX,,islandetickets: https://islandetickets.com/event/LADY-LAVA-MATRIX,1,Tobago,11.18,-60.735
RnBrunch - Pour Decisions Unforgettable Memories,2026-09-26,3:00 PM - 10:00 PM,"Birchwood Legacy Park, Lowlands, Tobago, Trinidad and Tobago",$400.00,Food & Drink,https://islandetickets.com/event/RNBRUNCH2026,,islandetickets: https://islandetickets.com/event/RNBRUNCH2026,1,Tobago,11.18,-60.735
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,Tobago,11.18,-60.735
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,Tobago,11.18,-60.735
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,Tobago,11.18,-60.735
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,Tobago,11.18,-60.735
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,Tobago,11.18,-60.735
TOBAGO CARNIVAL 2026,2026-10-27,,"Crown Point, Trinidad and Tobago TOBAGO CARNIVAL 2026 takes place at Sandy Point Village in Crown Point, Trinidad and Tobago, on T...",,Festival,https://beatstorapon.com/event/tobago-carnival-2026-6a27b3a71fa8c89c7d99c56b,"TOBAGO CARNIVAL 2026 takes place at Sandy Point Village in Crown Point, Trinidad and Tobago, on T...",beatstorapon: https://beatstorapon.com/event/tobago-carnival-2026-6a27b3a71fa8c89c7d99c56b,1,Tobago,11.18,-60.735
Soca Rewind,2026-10-28,,"Milford Rd, Scarborough, Trinidad and Tobago Soca Rewind takes place at Barcode on Old Milford Road in Scarborough, Tobago, on Tuesday, Octobe...",,Festival,https://beatstorapon.com/event/soca-rewind-6a852c15f3c6a007f40a2ae3,"Soca Rewind takes place at Barcode on Old Milford Road in Scarborough, Tobago, on Tuesday, Octobe...",beatstorapon: https://beatstorapon.com/event/soca-rewind-6a852c15f3c6a007f40a2ae3,1,Tobago,11.18,-60.735
AWOL TOBAGO 2026,2026-10-29,11:00 AM - 5:00 PM,"Store Bay Road, Store Bay Road, Crown Point, Tobago",,Fair / Popup,https://www.eventbrite.ca/e/awol-tobago-2026-tickets-1990483433532,,eventbrite: https://www.eventbrite.ca/e/awol-tobago-2026-tickets-1990483433532,1,Tobago,11.18,-60.735
PARADIS: The Day Club Experience,2026-10-29,2:00 PM - 10:00 PM,"Pigeon Point Beach, Pigeon Point Heritage Park, Crown Point, Tobago",,Nightlife / Party,https://www.eventbrite.com/e/paradis-the-day-club-experience-tickets-1991989988679,"PARADIS: The Day Club Experience takes place on Thursday, October 29, 2026, at Pigeon Point Beach...",eventbrite: https://www.eventbrite.com/e/paradis-the-day-club-experience-tickets-1991989988679 | beatstorapon: https://beatstorapon.com/event/paradis-the-day-club-experience-6a72c03a15564493a3dd8c53,2,Tobago,11.18,-60.735
