Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
SUBTO BROWARD RV & MHP MEETUP,2026-09-15,6:30 PM - 9:30 PM,"511 Bar & Lounge, 511 Northeast 3rd Avenue, Fort Lauderdale, FL 33301",,Arts & Theatre,https://www.eventbrite.com/e/subto-broward-rv-mhp-meetup-tickets-1998438718002,"Connect with RV park and mobile home park investors across South Florida to network, share insights, and build new opportunities together.",eventbrite: https://www.eventbrite.com/e/subto-broward-rv-mhp-meetup-tickets-1998438718002,1,Fort Lauderdale,26.122,-80.137
Fall Triton Expo Hosted by Bahia Mar Yachting Center,2026-09-16,5:00 PM - 8:00 PM,"Bahia Mar Yachting Center, 801 Seabreeze Boulevard, Fort Lauderdale, FL 33316",,Regatta / Maritime,https://www.eventbrite.com/e/fall-triton-expo-hosted-by-bahia-mar-yachting-center-tickets-1999277147768,Triton News Presents: The Annual Fall Triton Expo at Bahia Mar. Network & Celebrate with Local Yachties and Industry Partners.,eventbrite: https://www.eventbrite.com/e/fall-triton-expo-hosted-by-bahia-mar-yachting-center-tickets-1999277147768,1,Fort Lauderdale,26.122,-80.137
Free Admission Tickets Business Expo at the Gulfstream Park - Sept. 16,2026-09-16,4:00 PM - 8:00 PM,"Gulfstream Park Racing and Casino, 901 Federal Highway Third Floor Flamingo Room, Hallandale Beach, FL 33009",,Conference / Expo,https://www.eventbrite.com/e/free-admission-tickets-business-expo-at-the-gulfstream-park-sept-16-tickets-1994688296390,"You Won't Want To Miss The Biz To Biz Fall Business Expo Wednesday, Sept, 16th at Gulfstream Park. Free Admission with your Tickets",eventbrite: https://www.eventbrite.com/e/free-admission-tickets-business-expo-at-the-gulfstream-park-sept-16-tickets-1994688296390,1,Fort Lauderdale,26.122,-80.137
From the Headlines to the High-Rise: Signature Speaker Series,2026-09-16,11:30 AM - 1:30 PM,"Tower Club - Fort Lauderdale, 100 Southeast 3rd Avenue #28th floor, Fort Lauderdale, FL 33394",,Arts & Theatre,https://www.eventbrite.com/e/from-the-headlines-to-the-high-rise-signature-speaker-series-tickets-1999509770549,"A Front Row Seat to the People Shaping South Florida. Featuring CEO of Sunbeam Television
Andrew “Andy” Ansin",eventbrite: https://www.eventbrite.com/e/from-the-headlines-to-the-high-rise-signature-speaker-series-tickets-1999509770549,1,Fort Lauderdale,26.122,-80.137
The Pop-Up Fort Lauderdale,2026-09-16,6:00 PM - 4:00 PM,"1800 NE 26th St, 1800 Northeast 26th Street, Wilton Manors, FL 33305",,Fair / Popup,https://www.eventbrite.com/e/the-pop-up-fort-lauderdale-tickets-1996467094824,"The Pop-Up Fort Lauderdale is a two-day real estate experience built around people, business, relationships, and possibility.",eventbrite: https://www.eventbrite.com/e/the-pop-up-fort-lauderdale-tickets-1996467094824,1,Fort Lauderdale,26.122,-80.137
"AI Certification: Master ChatGPT, Gemini and Claude",2026-09-17,5:00 PM - 7:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/ai-certification-master-chatgpt-gemini-and-claude-tickets-1999789606546,"Beyond conversation and inquiries, learn how to setup and use Claude, ChatGPT, and Gemini to achieve maximum results.",eventbrite: https://www.eventbrite.com/e/ai-certification-master-chatgpt-gemini-and-claude-tickets-1999789606546,1,Fort Lauderdale,26.122,-80.137
9/18 LEVEL UP FRIDAYS @ MUNCHIE'S FORT LAUDERDALE,2026-09-18,10:00 PM - 4:00 AM,"Munchie's Pizza Club, 200 Southwest 2nd Street, Fort Lauderdale, FL 33301",,Nightlife / Party,https://www.eventbrite.com/e/918-level-up-fridays-munchies-fort-lauderdale-tickets-1997221245509,Level Up Fridays at Munchie's Fort Lauderdale!,eventbrite: https://www.eventbrite.com/e/918-level-up-fridays-munchies-fort-lauderdale-tickets-1997221245509,1,Fort Lauderdale,26.122,-80.137
La Dichotomie: A Special Screening Event,2026-09-18,7:00 PM - 10:30 PM,"Savor Cinema Fort Lauderdale, 503 Southeast 6th Street, Fort Lauderdale, FL 33301",,Sports & Fitness,https://www.eventbrite.com/e/la-dichotomie-a-special-screening-event-tickets-1993045840761,"The South Florida premiere of La Dichotomie, a short film starring Suzie Toot. from RuPaul’s Drag Race Season 17!",eventbrite: https://www.eventbrite.com/e/la-dichotomie-a-special-screening-event-tickets-1993045840761,1,Fort Lauderdale,26.122,-80.137
Palm Garden Welcome Party,2026-09-18,7:00 PM - 11:00 PM,"1401 S Andrews Ave, 1401 South Andrews Avenue, Fort Lauderdale, FL 33316",,Nightlife / Party,https://www.eventbrite.com/e/palm-garden-welcome-party-tickets-1998821435721,"Celebrate Palm Garden with cocktails, hors d' oeuvres, great company and a tour of our beautiful venue with Live Entertainment and more.",eventbrite: https://www.eventbrite.com/e/palm-garden-welcome-party-tickets-1998821435721,1,Fort Lauderdale,26.122,-80.137
SINGLES MIXER AGES 28 & UP,2026-09-18,9:00 PM - 1:00 AM,"TIMBR Restaurant & Lounge, 15 West Las Olas Boulevard, Fort Lauderdale, FL 33301",,Business / Networking,https://www.eventbrite.com/e/singles-mixer-ages-28-up-tickets-1996358498008,"EXCLUSIVE SINGLES MIXER. WHERE MATURE SINGLES MEET WITH PURPOSE.
A ONE-OF-A-KIND EXPERIENCE FOR AGES 28 & UP!",eventbrite: https://www.eventbrite.com/e/singles-mixer-ages-28-up-tickets-1996358498008,1,Fort Lauderdale,26.122,-80.137
