Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
WAVES 2026,2026-09-26,10:00AM,St. Vincent,$113.95 - $125.15,General,https://secure.ticketpal.com/event/waves-2026,"**ALL PRICES IN USD**Escape the ordinary. Set sail on WAVES—St. Vincent's premium all-white food & drinks inclusive cruise featuring great music, breathtaking views, and unforgettable vibes from morning into sunset.",ticketpal: https://secure.ticketpal.com/event/waves-2026,1,"Kingstown, St. Vincent",13.16,-61.225
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,"Kingstown, St. Vincent",13.16,-61.225
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,"Kingstown, St. Vincent",13.16,-61.225
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,"Kingstown, St. Vincent",13.16,-61.225
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,"Kingstown, St. Vincent",13.16,-61.225
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,"Kingstown, St. Vincent",13.16,-61.225
Storityme Show & After Party St Vincent,2026-10-09,7:00 PM - 12:05 AM,"Jungl Lounge, Villa Flats Arnos Vale, Arnos Vale, St. George",,Nightlife / Party,https://www.eventbrite.com/e/storityme-show-after-party-st-vincent-tickets-1997771766131,,eventbrite: https://www.eventbrite.com/e/storityme-show-after-party-st-vincent-tickets-1997771766131,1,"Kingstown, St. Vincent",13.16,-61.225
Seabiza Nights,2026-10-23,9:00 PM - 2:00 AM,"Blue Lagoon Marina, Ratho Mill St. Vincent & the Grenadines VC, Ratho Mill, VC0120",,Nightlife / Party,https://www.eventbrite.com/e/seabiza-nights-tickets-1998904418926,,eventbrite: https://www.eventbrite.com/e/seabiza-nights-tickets-1998904418926,1,"Kingstown, St. Vincent",13.16,-61.225
☀️SUNSIP ☀️,2026-12-20,10:00 AM - 4:00 PM,"Arnos Vale Stadium, Arnos Vale, Kingstown, St. George",,Nightlife / Party,https://www.eventbrite.co.uk/e/sunsip-tickets-1993872775144,,eventbrite: https://www.eventbrite.co.uk/e/sunsip-tickets-1993872775144,1,"Kingstown, St. Vincent",13.16,-61.225
CHEERS Ultra Premium NYE,2026-12-31,9:00 PM - 3:00 AM,"Arnos Vale Stadium, Arnos Vale, Arnos Vale, St. George",,Nightlife / Party,https://www.eventbrite.com/e/cheers-ultra-premium-nye-tickets-2000726687380,,eventbrite: https://www.eventbrite.com/e/cheers-ultra-premium-nye-tickets-2000726687380,1,"Kingstown, St. Vincent",13.16,-61.225
