Event Name,Date,Time,Venue/Location,Ticket Price (USD),Category,Source URL,Description,All Sources,Listings Merged,Island Match,Lat,Lng
New Business Invite: Petit Suite Co,2026-09-26,10:00 AM - 4:00 PM,"St. Thomas, Curacao Gade, Charlotte Amalie West, St Thomas 00802",,Arts & Theatre,https://www.eventbrite.com/e/new-business-invite-petit-suite-co-tickets-1998617612079,,eventbrite: https://www.eventbrite.com/e/new-business-invite-petit-suite-co-tickets-1998617612079,1,"St. Thomas, USVI",18.342,-64.931
R&B Party featuring Glenn Jones,2026-09-26,8:00 PM - 11:59 PM,"Cutlass & Cane, 5332 Yacht Haven Grande, Charlotte Amalie, St Thomas 00802",,Nightlife / Party,https://www.eventbrite.com/e/rb-party-featuring-glenn-jones-tickets-1997809092776,,eventbrite: https://www.eventbrite.com/e/rb-party-featuring-glenn-jones-tickets-1997809092776,1,"St. Thomas, USVI",18.342,-64.931
SUNRISE 5K RUN,2026-09-26,7:00 AM - 8:30 AM,"The Promenade across from the Federal Bldg. to UVI Soccer Field., Promenade, Charlotte Amalie, St. Thomas 00802",,Sports & Fitness,https://www.eventbrite.com/e/sunrise-5k-run-tickets-2001982618905,,eventbrite: https://www.eventbrite.com/e/sunrise-5k-run-tickets-2001982618905,1,"St. Thomas, USVI",18.342,-64.931
Us Virgin Islands Venture Scavenger Hunt,2026-09-26,11:00 AM - 1:00 PM,"Emancipation Garden, Emancipation Garden, 83R9+FV7, ST THOMAS, St Thomas 00803, USVI, St Thomas 00803, USVI, St Thomas 00803",,Arts & Theatre,https://www.eventbrite.com/e/us-virgin-islands-venture-scavenger-hunt-tickets-1994454963485,,eventbrite: https://www.eventbrite.com/e/us-virgin-islands-venture-scavenger-hunt-tickets-1994454963485,1,"St. Thomas, USVI",18.342,-64.931
Marketing Breakthrough: 40X Your Holistic Business [$297 Value],2026-09-27,10:00 AM - 12:00 PM,,,Sports & Fitness,https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,,eventbrite: https://www.eventbrite.com/e/marketing-breakthrough-40x-your-holistic-business-297-value-tickets-1222103026049,1,"St. Thomas, USVI",18.342,-64.931
Barnes & Noble and Waterstones Virtually Presents: Madeline Miller,2026-09-29,2:00 PM - 3:00 PM,,,Arts & Theatre,https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,,eventbrite: https://www.eventbrite.com/e/barnes-noble-and-waterstones-virtually-presents-madeline-miller-tickets-1994686605332,1,"St. Thomas, USVI",18.342,-64.931
Downtown Walking Tour - St. Thomas History,2026-09-29,9:00 AM - 11:30 AM,"St Thomas Historical Trust, 5332 Raadets Gade, Charlotte Amalie, St Thomas 00802",,Concert / Live Music,https://www.eventbrite.com/e/downtown-walking-tour-st-thomas-history-tickets-2002154454871,,eventbrite: https://www.eventbrite.com/e/downtown-walking-tour-st-thomas-history-tickets-2002154454871,1,"St. Thomas, USVI",18.342,-64.931
Black Girl Book Fair! Spooky Edition,2026-10-03,12:00 AM - 11:30 PM,,,Fair / Popup,https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,,eventbrite: https://www.eventbrite.com/e/black-girl-book-fair-spooky-edition-tickets-1990268350212,1,"St. Thomas, USVI",18.342,-64.931
Ethically Shady: Navigating the Gray Areas of Interpreting,2026-10-03,10:00 AM - 1:30 PM,,,Arts & Theatre,https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,,eventbrite: https://www.eventbrite.com/e/ethically-shady-navigating-the-gray-areas-of-interpreting-tickets-1992852441298,1,"St. Thomas, USVI",18.342,-64.931
A Norman stitch-up? The story behind the Bayeux Tapestry,2026-10-07,7:30 PM - 8:30 PM,,,Arts & Theatre,https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,,eventbrite: https://www.eventbrite.co.uk/e/a-norman-stitch-up-the-story-behind-the-bayeux-tapestry-tickets-1997441959671,1,"St. Thomas, USVI",18.342,-64.931
Master Your Money Financial Workshop,2026-10-07,5:00 PM - 6:30 PM,"BVI FSC Resource Centre, Jones Building, 18 Pasea Estate Road, Road Town, VG1110",,Business / Networking,https://www.eventbrite.com/e/master-your-money-financial-workshop-tickets-2000603022495,Join our Master Your Money Financial Workshop in person to learn smart money tips and boost your financial confidence!,eventbrite: https://www.eventbrite.com/e/master-your-money-financial-workshop-tickets-2000603022495,1,"St. Thomas, USVI",18.342,-64.931
Scheme Queens 2: Caribbean Heist Film Premiere,2026-10-08,7:30 PM - 10:00 PM,"Caribbean Cinemas, 4406 Weymouth Rhymer Highway, Donoe, St Thomas 00802",,Arts & Theatre,https://www.eventbrite.com/e/scheme-queens-2-caribbean-heist-film-premiere-tickets-2001262986465,,eventbrite: https://www.eventbrite.com/e/scheme-queens-2-caribbean-heist-film-premiere-tickets-2001262986465,1,"St. Thomas, USVI",18.342,-64.931
Metanoia conferencia,2026-10-10,10:00 AM - 4:30 PM,"Centro de Usos Múltiples de Ceiba, Ceiba, Ceiba, Ceiba 00735",,Conference / Expo,https://www.eventbrite.com/e/metanoia-conferencia-tickets-1989277763340,"Evento dirigido a la sanidad interior, restauración emocional y salud mental de la mujer, creando un espacio de apoyo & transformación.",eventbrite: https://www.eventbrite.com/e/metanoia-conferencia-tickets-1989277763340,1,"St. Thomas, USVI",18.342,-64.931
SHRM VI 2026 HR & Business Conference,2026-10-14,8:30 AM - 12:00 PM,"BVI International Arbitration Centre, 3rd Floor, Ritter House, Wickham's Cay II, Tortola, Road Town, Tortola VG1110",,Conference / Expo,https://www.eventbrite.com/e/shrm-vi-2026-hr-business-conference-registration-2000258953375,"Join us at the 2026 SHRM VI HR & Business Conference for 2.5 days of top-tier insights, networking, and transformative discussions!",eventbrite: https://www.eventbrite.com/e/shrm-vi-2026-hr-business-conference-registration-2000258953375,1,"St. Thomas, USVI",18.342,-64.931
Soul & Spirit Gospel Fest,2026-10-17,6:30 PM - 9:45 PM,"Oasis Church of God of Prophecy, ST.Thomas USVI 4406 Weymouth Rhymer Hwy, Hoffman, St Thomas 00802, Charlotte Amalie, St Thomas 00802",,Festival,https://www.eventbrite.com/e/soul-spirit-gospel-fest-tickets-1993707988262,,eventbrite: https://www.eventbrite.com/e/soul-spirit-gospel-fest-tickets-1993707988262,1,"St. Thomas, USVI",18.342,-64.931
Spookyween Sip & Paint,2026-10-17,4:00 PM - 8:00 PM,"Don Felito’s Cookshop, 10, Charlotte Amalie, St Thomas 00802",,Nightlife / Party,https://www.eventbrite.com/e/spookyween-sip-paint-tickets-2000638037225,,eventbrite: https://www.eventbrite.com/e/spookyween-sip-paint-tickets-2000638037225,1,"St. Thomas, USVI",18.342,-64.931
2026 Governor's Workforce Development Summit - St. Thomas Youth,2026-10-22,8:00 AM - 3:00 PM,"Caribbean Cinemas, Weymouth Rhymer Highway, Charlotte Amalie, St Thomas 00802",,Conference / Expo,https://www.eventbrite.com/e/2026-governors-workforce-development-summit-st-thomas-tickets-1989236865012,"Ready to make moves? Explore cool careers, gain real-world skills, meet inspiring professionals, and discover what's next for YOU.",eventbrite: https://www.eventbrite.com/e/2026-governors-workforce-development-summit-st-thomas-tickets-1989236865012 | eventbrite: https://www.eventbrite.com/e/2026-governors-workforce-development-summit-st-thomas-youth-tickets-1989410194445,2,"St. Thomas, USVI",18.342,-64.931
2026 Governor's Workforce Development Summit - St. John,2026-10-23,9:00 AM - 1:00 PM,"Legislature of the Virgin Islands St. John Annex, 1D Great Cruz Bay Road, Cruz Bay, St John 00830",,Conference / Expo,https://www.eventbrite.com/e/2026-governors-workforce-development-summit-st-john-tickets-1989236309350,"Upskilling and Educating for Today's Challenges: Connect, learn, and lead at the 2026 Governor's Workforce Development Summit.",eventbrite: https://www.eventbrite.com/e/2026-governors-workforce-development-summit-st-john-tickets-1989236309350,1,"St. Thomas, USVI",18.342,-64.931
